Name,Age,Salary
Bridget Vega,62,82727
Rachel Hernandez,46,33288
Michael Combs,37,75465
Edwin Payne,44,43596
James Houston,35,21932
Robert Gonzalez,21,179236
Jeffrey Holder,18,73502
Brittney Bradshaw,18,25660
Christopher Mahoney,43,190711
Suzanne Gilbert,62,28305
Heather Daniels,37,180123
Bryan Sampson,40,62581
Brittany Benjamin,27,166631
Jennifer Gutierrez,28,59019
Bryan Graham,58,23373
Johnny Chandler,58,166254
Blake Martin,22,79933
Brandy Mcclain,18,63879
Alexis Davis,34,178673
Cesar Shah,39,43773
Amanda Wright,51,106365
Valerie Williams,62,140864
Ricky Adams,58,110590
Lisa Campbell,46,36351
Jacob Hernandez,21,34282
Rachel Blanchard,22,140150
William Goodman,28,170022
Gabriela Olsen,38,101658
Daniel Barnes,52,20446
Amanda Norris MD,29,66062
Gabriel Morgan,43,80827
Holly Pugh,36,47053
Christine French MD,62,26982
Hayley Young,24,73930
Sarah Rosales,64,48554
Erica Jordan,24,25457
Casey Walker,43,96923
Kristopher Villanueva,57,152733
Danielle Spears,22,34334
Kelli Lee,38,83777
Kristen Byrd,31,42780
Robert Stewart,21,70863
Antonio Schneider,40,141744
Rebecca Gilbert,59,80664
Richard Wilson,37,142223
Michael Stone,32,33299
Joe Robinson,62,44229
Emily Tran,46,183748
Eric Martinez,25,34501
Sabrina Gonzalez,58,73964
Andre Eaton,65,49724
Ruth Montoya,36,88600
Amanda Porter,65,39539
Andrew Goodwin,56,39173
Susan Hardin,63,64520
Brandon Brown,45,23915
Sara Williams,63,122909
Mariah Reeves,44,78821
Elizabeth Cantrell DVM,21,169519
Donald Larson,32,45500
Sarah Martinez,52,161693
Shelley Bond,54,157222
William Cook,18,45479
Sarah Freeman,20,186591
Michael Villegas,64,116429
Allison Stevens,41,94042
Carly Lloyd,44,60879
Sarah Chen,57,80677
Kristi Hill,53,94524
Michael Hernandez,51,51988
Michael Rose,46,76178
Anna Johnson,41,147225
Robert Perez,41,45525
Lacey Armstrong,59,62393
Sandra Levine,21,25395
Linda Williams,20,34232
Allen Fisher,51,75921
Tammy Alexander,40,37228
Maria Johnson,40,41902
Shannon Gutierrez,62,62101
Jacqueline Lopez,22,41188
James Hunt,48,105696
Jason Carpenter,58,53784
Erica Gutierrez,23,178917
Stephanie Adams,54,155027
Courtney Parker,27,72524
Suzanne Walton,57,92929
Angela Stevens,24,161603
Autumn White,56,44685
Emily Cox,55,51849
Gregory Colon,38,93853
Daniel Lang,37,33117
Cathy Blankenship,20,76763
John Wood,39,54892
Jeffrey Padilla,64,179212
Amanda Griffin,21,106783
Mr. Dennis Bailey,45,31486
Lisa Chase,29,112307
Karen Sutton,55,185017
Paul Fowler,53,45517
John Summers,64,88898
Lee Fields,58,51962
Laurie Anderson,22,143857
Randall Delgado,30,138085
Samuel Warren,40,84394
Victoria Perez DDS,47,20067
Keith Pace,54,77791
Molly Franklin,42,163769
Teresa Mathews,65,118324
Bryan Reynolds,44,95537
Eric Wagner,31,182385
Mark Vargas,65,54299
Donna Stewart,64,104828
Gary Pennington,53,135700
Taylor Whitehead,56,90447
Christina House,33,69364
Angela Warren,39,89764
Benjamin Mcfarland,38,34680
Raven Brown,38,79547
Timothy Wilkinson,25,153823
James Murphy,33,122832
Cindy Jones,48,158220
Wayne Bryant DDS,59,30701
Brianna Holloway,27,169391
Megan Parker,49,153000
Edwin Davis,51,145227
Kimberly Jones,26,62853
Leslie Roberts,34,147102
Tanner Jackson,28,145897
Rebecca Valencia,49,128203
Daniel Martinez,27,38643
Joseph Armstrong,39,51446
Ryan Graham,34,199709
Lindsey Myers,21,125096
James Wagner,65,158580
Aaron Walton,64,43470
Mark Garcia,42,70317
Bethany Carr,38,112206
Joshua Mcclure,54,55593
Tanya Barrett,55,164487
Jason Phillips,18,45530
Rachel Mcconnell,42,22827
Amanda Schmidt,53,36590
Rodney Dixon,34,137953
Gloria Martin,58,83886
Ryan Vang,41,34211
Charles Graves,19,188303
Edward Coleman,57,58520
Adrienne Liu,32,42711
Amanda Brown,49,63305
Steven Stewart Jr.,56,85597
Adam Reynolds,23,24131
Taylor Lamb,18,133770
Bryan Mccarthy,64,131418
Michael Pineda,40,36848
Michael Perez,56,124817
Nancy Shannon,34,86640
Christopher Snyder,51,150259
Melissa Bryant,58,136967
Cheryl Martin,46,84575
Stephanie Mitchell,26,109418
Gary York Jr.,30,195633
Robin Davis,23,93424
Christina Edwards,23,34806
Javier Clark,37,49768
Deborah Gentry,20,24108
Michael Booth,34,56227
George Pope,29,36999
Charles Williams,65,30776
Laura Dixon,64,35160
Danielle Baker,62,25213
Kristen Long,18,91876
Ronald Hensley,34,47230
Shawn Stone,20,23839
Alison Guzman,43,48018
Franklin Harvey,32,170470
Nicholas Foley,53,95398
Paul Edwards,49,61950
Dwayne Bradley,49,122693
Erica Glass,21,51274
John Gordon,35,143619
Diane Merritt,36,33455
Casey Harris,60,45159
Brian Johnson,52,31094
Kyle Winters,57,118020
Isaac Miller,31,45212
Thomas Armstrong,50,24331
Nicole Williams,31,59784
Lori Johnson,51,49179
Linda Edwards,21,32057
Todd Jimenez,41,149421
Eric Aguilar,46,34031
Kenneth Kirby,36,78055
Jacob Herrera,23,134786
Curtis Montgomery,50,138347
Jennifer Molina,57,55851
Tonya Webb,36,169444
Michele Hendricks MD,18,25162
Matthew Martinez,22,39610
Willie Kelly,44,189875
James Grant,33,191129
Jennifer Watkins,23,79873
Ronald Obrien,57,31088
Alan Doyle,30,69739
Austin Davis,65,125417
Alejandro Martin,52,75069
William Thomas,36,51882
David Rodriguez,29,80141
Heidi Smith,33,119602
Rebecca Duffy,60,146807
Christopher Cunningham,27,75663
Daniel Chapman,42,79278
Cameron Henry,37,49504
Christopher Burke,48,159808
Samantha Hines,21,80267
Kevin Mcdonald,61,86072
Lauren Whitney,40,31971
Pamela Robinson,19,35830
Melissa Stephens,39,194838
Emily Brown,54,39923
David Sawyer,25,59766
Eric Giles,24,172374
Ariel Owen,31,149224
Joshua Myers,20,147948
Adam Dorsey,33,131981
Randy Gardner,36,93920
Tiffany Johnson,35,26838
Bryan Fleming,33,77528
Clayton Robertson,25,20917
Amber Tucker,50,43569
Jonathon Campos,29,37618
Melissa Davis,28,25021
Ruth Christian,22,37160
Alicia Caldwell,44,94370
Tracy Rich,29,199320
Yolanda Ray,34,34995
Cody Johnson,23,191420
Jeffery Andrews,50,34933
Samuel Carson,22,193475
Ashley Osborne,45,79649
Kimberly Butler,31,144037
James Haynes,22,24920
Amy Coleman,50,150226
Douglas Ramos,65,178271
Lisa Everett,58,174961
Kevin Fisher,36,54918
Crystal King,39,99851
Christina Martinez,22,42250
Catherine Aguilar,19,78129
Beth Watson,47,98921
Crystal Carter,64,177854
Joshua Hartman,56,88653
Amanda Figueroa,21,117370
Timothy Garcia,50,150773
Tracy Torres,30,105314
Julie Collins,37,43012
John Taylor,24,63234
Laura James,32,48047
Scott Webb,40,84525
Leslie Fox PhD,31,27226
Deborah Young,40,154787
Robert Norman,36,98241
Joseph Decker,46,78685
Brandon Walker,37,43095
Kimberly Deleon,46,137035
Matthew Evans,41,79965
Jason Parrish,35,49999
Daniel Wade,27,146143
Laurie Branch,58,75865
Christine Stewart,25,84485
Anthony Collier,43,125554
Alfred Martinez,46,179763
Mikayla Patterson,27,193079
Kristin Hess,34,21252
Kyle Mitchell,19,191997
Donald Rogers,23,67959
Amy Mcpherson,22,44519
Ronald Kelley,45,20572
Jason Gonzalez,58,85465
Brian Ferguson,22,84813
Roy Lee,35,199112
Roberto Neal,43,157063
Steven Lewis,37,39678
Crystal Jones,58,197784
Denise Jones,44,22690
Paul Obrien,29,115087
David Beck,24,50337
Robert Walters,20,22217
Robert Rodriguez,27,180153
Brian Jones,51,53263
Jeff Walker,42,165334
Amanda Fowler,52,183974
Alexandria Bryant,33,133577
Veronica Taylor,19,116807
Ivan Becker,41,30698
Mr. Anthony Esparza,27,47772
Heather Miller,55,69693
Melissa White,39,124043
Douglas White,43,70672
Christine Collins,60,46519
Frank Williams,56,112206
Dorothy Cole,44,82370
Jacob Fernandez,46,61461
Nicholas Howard,64,172085
Natasha Lopez,55,96551
Carolyn Barnett,37,82704
Geoffrey Chen,44,63256
Drew Anderson,58,183640
Amy Cannon,37,29486
Jeffrey Nolan,61,127527
Lisa Conley,36,162672
Nathan Jackson,37,129433
Frank Spears,52,190896
Laura Dominguez,64,20650
Brian Chavez,19,185679
Zachary Hogan,47,37478
Richard Turner,51,74001
Katrina Sawyer,39,69457
Allison Duran,20,91116
Beth Smith,23,140032
James Alvarado,32,80210
Kevin Johnson,44,81350
Craig Hansen,27,42765
Anthony Barber,26,79867
Matthew Jones,50,24627
Anne Farley,49,21230
Steven Riley,65,120885
Rhonda Stephens,23,33404
Tonya Wilkerson,58,60939
Robert Mcconnell,53,197455
Joseph Miller,19,23414
Bryan Rocha,46,128142
Carlos Clark,21,84643
Samantha Russell,18,37375
Cheryl Wright,36,89520
Kimberly Wallace,43,43989
Kimberly Stanley,42,140318
Latoya Romero,27,82552
Kim Palmer,32,81028
Anthony Garcia,39,172056
Melvin Gonzalez,65,38062
Traci Hale,38,42449
Colin Brown,39,97134
Elizabeth Smith,53,87589
Allen Landry,51,104622
Jeremy Estrada,47,35627
Abigail Rowe,42,134218
Michael Davis,62,95928
Tina Mcdowell,45,104927
Henry Jackson,18,30692
Michael Buchanan,62,39520
Mark Moon,21,37641
Walter Salinas,24,74485
Sue Anderson,26,33757
Dylan Wallace,53,21319
Judy Kerr,36,45519
James Jones,18,70923
Carolyn Benton,27,90215
Brandon Martinez,53,188210
Laurie King,26,168380
Kiara Roberts,62,38950
Matthew Thompson,63,140470
Robert Perez,59,24134
Amanda Johnson,49,33519
Jeffrey Carter,49,99423
John Lewis,23,58598
Christopher Burns,65,29941
Alisha Owens,55,20165
Christina Garcia,34,23521
Larry Lawrence,27,68932
William Daugherty,44,165007
William Alexander,52,79897
Michelle Gomez,38,61670
Danielle Dalton,42,30335
Jonathan Romero,45,43926
Matthew Jones,64,85555
Taylor Parker MD,32,22011
Taylor Parker,21,49877
Frederick Horton,46,141248
Kimberly Jones,26,36575
Logan Little,44,42443
Tamara Graham,43,142317
Sabrina Robertson,36,25232
Adam Potts,45,24145
Andrew Willis,34,81509
Jessica Carlson,60,89282
Teresa Obrien,58,50192
Valerie Edwards,59,135350
Timothy Klein,37,40519
Nancy Brooks,62,186445
April Keller,57,75955
Lauren Cook,56,188021
Kelly Mitchell,40,118444
Johnny Howard,64,31618
Amanda Rubio,49,188861
Jill Lara,64,63027
Matthew Kim,50,155879
Jessica Davis,63,118280
Luis Davis,22,74487
Emily Thomas,60,129135
James Kim,65,143462
Tara Schultz,51,79438
Ann Ross,57,70390
Amy Williams,28,101610
Philip Norris,20,28080
Theresa Mason,50,53360
Vincent Dougherty,28,196144
Sheila Lane,33,112749
Johnny Walker,35,63410
Gerald Cochran,47,43815
Justin Fowler,65,190397
Christine Cole,27,45613
Brittany Bell DVM,35,95940
Alan Nelson,55,141939
Peter Moore,36,95160
Victoria Mcconnell,53,101815
Ruth Rivera,30,94758
Ralph Burch,63,122554
Melanie Bowman,20,61383
Beverly Smith PhD,27,116525
Ethan Villarreal,55,169856
Jesse Fuller,18,63683
Susan Stevens,44,77341
Brandon Hester,63,172921
James Reynolds,25,47500
David Bailey,63,48850
Brian Clark,59,186487
Robert Walker,34,50308
Benjamin Townsend,26,173915
Rachel Dunn,23,92947
Joseph Arnold,60,20570
Richard Myers,42,31151
Sarah Mathis,56,83490
Barbara Garcia,45,60235
Julie Melendez,50,32453
Aaron Harvey,54,199353
Michael Wilson,26,65642
Caitlin Anderson,35,149242
Jonathan Adkins,38,179944
Destiny Wilcox,19,59222
Robert Griffith,60,105878
David Jacobs,55,56856
David Cline,57,30295
Ashley Hernandez,53,186211
Melissa Davidson,60,27031
William Ramirez,54,30066
Katelyn Gibson,32,73667
Stephen Raymond,45,98357
Chelsea Hubbard,35,39600
Matthew Bowen,51,52867
Greg Saunders,39,66568
Laura Bean,28,55510
Debra Erickson,30,193967
David Hall,21,68075
Jeffrey Miller,39,98848
Elizabeth Rodriguez,24,162781
Gail Carey,60,60849
Karen Richardson,41,35787
Alicia Wang,21,64080
Miguel Romero,45,54568
Kaitlyn Banks,32,73384
Angela Cunningham,18,80958
Brooke Jensen,20,41799
Jennifer Gibson,31,77560
Ryan Mcclure,55,131423
Danielle Morris,18,147112
Austin Holt,55,54669
Dylan Hill,55,70867
Veronica Gordon,38,48346
Joshua Abbott,65,48378
Richard Rocha,46,152228
Laurie Schmidt,22,39345
Gloria Wells,27,34527
Herbert Ford,45,57348
Kevin Jones,38,41259
Katelyn Beltran,24,161585
Suzanne Logan,20,21141
Amy Turner,62,196759
Jennifer Trevino,64,176174
Denise Perez,37,39567
Ashley Brock,36,63781
Tyler Martinez,52,27082
Danielle Leon,21,125934
Nathan Morgan,22,60378
Kayla Huang,18,81955
Kimberly Larsen,21,55899
Travis Wood,29,159994
Michelle Gonzalez,44,20186
Carolyn Weber,59,168478
Jerry Davidson,40,68679
Teresa Gutierrez,42,43906
Carol Vega,38,21447
Joseph Callahan,41,76911
James Davila,42,188636
Kimberly Frank,62,81924
Brian Flores,63,22535
Justin Riddle,49,43971
Matthew Lopez,49,63999
Joseph Smith,22,42410
Nicole Santos,53,57244
Victoria Baird,63,93392
Anne King,59,39702
Tara Rush,59,99650
Paul Combs,56,136344
Jacob Foster,33,84020
Adam Mendoza,50,51135
Sharon Flowers,38,28210
Erika Ellis,26,91575
Roberto Rios,23,96547
Justin Johnson,62,33070
Ruth Rose,52,102124
Ariel Brown,56,60989
Kenneth Dillon,39,109461
Megan Collins,58,100692
Tonya Miller,22,48062
Stephanie Downs,59,47499
Christian Robinson,40,33878
Jason Garrett,34,41158
Robert Little,29,35715
Jay Briggs DDS,40,59879
Catherine Lopez,33,34113
David Bass,20,44356
Michele Fuller,47,159551
Lisa Richards,39,151619
Savannah Wallace,26,42423
Devin Hernandez,46,196132
William Aguilar,64,37832
Monica Ortiz MD,54,103093
Wesley Dickson,40,147000
Victor Kelly,30,68396
Heather Duncan,49,125007
Robert May,63,103723
Kenneth Anderson,64,48401
Emily Brown,65,26079
Jerome Pratt,40,185825
Maria Davis,62,194284
Chase Oconnell,34,39166
Jasmin Jones,57,99243
Amanda Wells,38,46616
Julie Hill,19,22775
Phillip Perkins,54,61875
Jennifer Henderson,23,97967
Aaron Martinez,61,109276
Steven Torres,35,186568
Meredith Salazar,47,40240
Brian Baldwin,39,45520
Tamara Delgado,50,101588
Terri Simmons,47,28566
Daniel Stanton,34,37642
Gilbert Ramirez,60,39348
Brandi Parks,49,157531
Deborah Cook,59,102463
Matthew Nixon,31,160373
Angela Garcia,27,32192
Colleen Ruiz,64,89761
Ariel Spence,53,44260
Patrick Rodriguez,51,40973
Travis Stuart,26,127878
Natasha Gray,59,64331
James Walker,45,73577
Michelle Olsen,28,80972
Ryan Reese,31,129228
Frederick Williamson,56,25741
Taylor Cruz,64,96152
Patrick Strong,36,91989
Bruce Jimenez,32,183830
Jeffrey Reyes,45,50250
Timothy Thomas,41,162654
Elizabeth Barton,25,84029
Jacob Gonzalez,60,32158
Connie Davis,26,34026
Justin Richardson,64,135740
Kevin Phillips,50,107567
Daniel Hoffman,50,61411
Devin Solis,36,123528
Katie Cruz,20,83083
Courtney Oneill,27,94994
Melissa Curry,57,34559
Debra Murphy,64,185167
Jacqueline James,59,66969
Manuel Hester,18,33223
Jeff Phillips,46,175140
Mr. Dakota King IV,51,31905
Carol Anderson,30,26953
Angel Armstrong,18,37519
Jason Lopez,51,45515
Seth Stanton,46,72801
Charles Cruz,65,56902
James Taylor,64,20687
Pamela Miranda,30,152004
Bruce Clark,65,30922
Amber Lewis,46,168208
Angela May,56,113700
Patricia Walker,41,85441
April Nguyen,43,99501
Benjamin Newman,34,24529
Jamie Quinn,24,170424
Meredith Figueroa,30,75902
Alexander Hernandez,22,119230
Kyle Hooper,43,70707
Brandon Potter,20,34536
Alexa Pollard,24,148618
Christina Davis,56,88216
Carrie Vasquez,18,77544
Jeanette Owen,34,183137
Cynthia Patton,60,61242
Kevin Wood,42,104923
Alexis Carlson,20,20226
Natasha Kline,32,43559
Kathy Bray,46,61990
Chase Sanders,60,64524
Omar Kelley,49,53969
Erica Barry,43,194214
Zachary Patel,33,111796
Suzanne Harris,42,175427
Andrea Young,45,67889
Thomas Green,26,147930
Jessica Kane,18,32380
Jared Harris,46,79632
Leslie Bennett,39,84486
Michelle Miller,33,172046
Tammie Mills,58,53130
Mr. Tyler Sharp,61,27323
Hannah Young,58,53925
Ashley Santiago,24,91692
Alexis Johnson,31,101882
Nathan Powell,46,38537
Steven Hubbard,36,74424
Katie Simmons,36,113862
Dr. Christopher Banks MD,19,27382
Kimberly Monroe,58,185713
Paul Davis,62,114720
Antonio Mendez,32,56772
Alex Harmon,20,83488
John Myers,28,97160
Michael Floyd,63,32851
Rachel Ferrell,47,20919
Keith Rogers,57,77650
Melissa Flynn,35,105455
Eric Anderson,65,49010
Angela George,19,59260
Ashley White,49,26582
Phillip Smith,25,22032
Timothy Maldonado,39,39493
Monica Lane,23,39404
Christina Norton,29,154711
Dawn Vincent,64,160295
Nicole Santiago,57,60957
Melissa Kim,53,75106
Raven Chen,32,30345
Joanne Mckee,45,44665
David Weaver,62,51631
Jamie Lowery,35,37359
Anthony Soto MD,19,59176
Ricky Simon DDS,30,88135
Gene Davidson,62,71690
Anita Holmes,32,47413
Mrs. Krystal Gilbert MD,37,122928
Phillip Wilson IV,46,26837
Matthew Nicholson,59,60704
Alicia Johnson,46,194882
Timothy Lewis,20,139554
Jeff Rollins,36,76376
Brittany Hunt,20,191749
Leah Bradford,31,84821
Corey Hoffman,57,97765
Gregory Wallace,21,132007
Todd Daniels,28,56306
Deanna Park,48,37722
Jeffrey Hall,60,29788
Elizabeth Pratt,49,153219
John Shaw,44,183949
Jeffrey Vega,47,189425
Debra Smith,60,87532
Emily Garrison,19,85945
Julie Ramirez,26,45338
Ms. Catherine Miller,45,178538
Grant Nelson,48,99281
Edward Lambert,51,40767
Gary Adams,32,50871
Linda Dennis,65,139568
Angel Anthony,42,46406
Catherine Roberts,53,56590
David Carroll,25,78811
Matthew Rowe,26,41431
Barbara Clark,54,46778
Jamie Clayton,65,63901
Miguel Kline,62,81522
Michael Randall,56,28417
Hannah Nicholson,49,76144
Nicholas Whitaker,34,161382
Albert Bradley,52,65550
Kevin Garcia,54,25750
Johnny Lindsey,36,54993
Anna Thomas,61,38532
James Shepard,46,168155
April Rodriguez,24,38263
Jacqueline Roberts,45,60998
Jodi Beard,26,22440
Amber Dunn,45,55699
Robert Brock,23,99460
Steven Galvan,46,97289
William Campbell,34,184727
Stanley Tanner,33,127043
Rebecca Brady DDS,40,139532
Kristopher Knight,48,46102
Catherine Moore,20,86204
Charles Weber,38,103559
Kenneth Gutierrez,43,69943
Adam Crawford,53,43811
Kayla Garcia,59,197138
Tiffany Dickerson,54,192893
Patricia Vazquez,39,118817
Shawn Vincent,59,79524
Shawn Martinez,29,43993
Jasmine Ayers,59,108849
Jerry Kelly,30,134579
Gabriel Lopez,28,139170
Michael Howe,33,54007
Robin Herrera,25,171546
Paula Williams,57,23805
Stacey Woodard,57,192073
Jason Morris,62,181781
Jeanne Perez,19,179508
Jeffrey Perez,47,147366
Jim Mitchell,47,36285
William Larsen,29,35457
Dillon Velazquez,27,75833
Terri Lewis,61,45424
Scott Price,28,30020
Tiffany Parker,32,104553
William Charles,33,26094
Charles Davis,34,165553
Alexander Medina,43,80392
Sean Simmons,19,31667
Melissa Rojas,29,128808
Suzanne Taylor,43,158002
Mrs. Robin Keller,40,104687
Nathaniel Gallegos,35,52986
Kevin Thompson,49,113270
Tammy Strong,55,103970
Mark Vazquez,64,145284
Candice Brown,20,59498
Nicole Gray,55,25558
Timothy Ashley,20,64822
Rachel Richardson,47,20861
Benjamin Johnson,18,130144
Lori Lang,47,181327
Jerry Burns,62,161923
Ashley Wheeler,49,27124
Robert Powers,45,130010
Lauren Guzman,38,61738
Nicole Armstrong,63,31069
Kristin Simmons,30,22850
Melanie Flores,44,70790
Deborah Harper,53,175875
Megan Wong,24,150706
Margaret Houston,39,38241
Brian Guerrero,27,39288
Julie Walker,56,39889
John Washington,32,132767
Michael Jones,32,38814
Wendy Chandler,21,59105
Belinda Abbott,49,23103
Curtis Smith,40,26644
Victoria Lee MD,23,32583
Amy Chapman,41,146336
Hailey Mays,37,135187
Sharon White,54,26587
Amy Jackson,37,21546
Matthew Villanueva,29,45380
Rodney Small,50,42439
Calvin Sherman,45,177155
Corey Miller,25,33232
Helen Houston,18,149029
Richard White,54,197267
Caitlyn Bryan,39,29076
Amanda Crane,23,191300
Debbie Rodriguez,38,83038
Angela Garcia,49,76097
Scott Alexander,52,23135
Robert Vasquez,32,162994
Nicole Bennett,22,196838
Rachel Sloan,63,49876
Nicholas Clark,65,65917
Julie Paul,23,21262
Todd Richards,42,91693
Robert Williams,63,75075
Edward Garcia,57,41119
Dana Cardenas,46,68783
Barbara Duran,24,29802
Joshua Travis,57,90954
Mrs. Michele Robinson,30,90048
Manuel Berg,55,64012
Emily Herrera,35,103165
Robin Hale,19,92230
Michael Johnson,25,119095
William Adams,28,27692
Brian Smith,50,149878
Tammy Gomez,55,193847
Emily Neal,65,27657
Robert Price,44,175887
Lisa Duke,37,56512
Erika Garcia DDS,29,83079
Barbara Gibson,60,197513
Laura West,48,141199
David Callahan,44,61940
Jonathan Smith,49,156636
Brittney Martinez,27,38642
Terri Romero,20,58113
Jamie Rose,62,36913
Matthew Trujillo,44,24594
Misty Evans,52,38771
Mr. Thomas Mendez II,48,66527
Michele Woods,32,87843
